ArraySize,Comparisons,TimeMillis
1000,244783,4
1500,559028,13
2000,997692,1
2500,1580953,2
3000,2270047,3
3500,3069543,2
4000,4020316,3
4500,5033262,3
5000,6191463,4
5500,7524604,5
6000,8909020,7
6500,10621300,7
7000,12164766,9
7500,14166612,12
8000,16191149,13
8500,18027718,13
9000,20180375,15
9500,22127480,17
